University/College Name,City,State,Name of the state,Control,Region,Popular Metropolitan Area,Setting,Institution size,Coeducational or Single-sex?,HBCU?,Primary Focus,Undergraduate?,Where do most students live?,Religious?,Budget category,Tuition and fees without aid,Room and board,Total cost of attendance without aid,Types of Aid for international students,Number of International Students awarded financial aid/scholarships,Percentage of International students who receive aid,Average amount awarded,Average cost in 2023-2024 after aid (merit or need),Total awarded in millions,Meets full demonstrated need?,Amount of largest Merit Scholarship,Scholarship's Name,Scholarship's Link,Scholarship's Information,2024-2025 adjusted tuition after scholarship,2024-2025 cost of attendance after largest Merit Scholarship,How to apply,Acceptance rate,International admission rate,Yield (approximate),International yield,Class of 2027 - international applications,Class of 2027 - international students admitted,Class of 2027 international accepted offer/enrolled,Regular Decision acceptance rate,early plan offered?,Early Decision 2 offered?,Source_List
University of Virginia,Charlottesville,VA,Virginia,Public,Southeast,,Suburb: Midsize,20K+,Coeducational,No,Arts and Sciences,Majority,On-campus,0-None,$5.000,$60.907,$15.862,$80.769,Merit,,,,,,N/A,Full ride+stipend,Jefferson Scholars Program,https://www.jeffersonscholars.org/scholarships,A premier scholarship program that covers the full cost of attendance. Requires a nomination from the student's high school. Students cannot self-apply.,$0,$3.000,Requires nomination,"16,3%","11,5%",42%,29%,6315,726,208,"11,7%",Both,,early_admission
University of Wisconsin-Madison,Madison,WI,Wisconsin,Public,Midwest (Great Lakes),,City: Large,20K+,Coeducational,No,Balanced,Majority,Off-campus,0-None,$0,$42.103,$14.124,$60.227,Merit,,No data,No data,No data,,N/A,Full ride+stipend,King-Morgridge Scholars Program,https://admissions.wisc.edu/international-scholarships/,"A program for enterprising, creative students from developing countries who are committed to returning home to work on issues of poverty. Requires a separate application. The grant includes health insurance, airfare, and a stipend for miscellaneous expenses.",$0,$0,Requires application,"43,3%","31,9%",29%,16%,12355,3942,647,43%,Early Action Only,,early_admission
Ursinus College,Collegeville,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),"Philadelphia, PA",Suburb: Large,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,Off-campus,2-Slightly,$55.000,$61.010,$17.028,$82.038,Merit,3,67%,$24.333,$53.927,$0.1m,N/A,$35.000,Gateway Scholarship,https://www.ursinus.edu/offices/student-financial-services/grants-scholarships-loans/ursinus-gateway-scholarship/,All applicants are automatically considered for this merit-based scholarship upon admission. No separate application is required.,$26.010,$47.038,Automatic consideration,87%,70%,13%,-,,-,,78%,Both,,early_admission
Utica University,Utica,NY,New York,Private,Northeast (Mid-Atlantic),,City: Small,1K - 9K,Coeducational,No,Professional,High,On-campus,0-None,$35.000,$26.930,$15.720,$46.650,Merit,12,57%,$8.586,$32.802,$0.1m,N/A,,,,,,TBD,-,87%,27%,18%,,-,-,,87%,Both,,early_admission
Vanderbilt University,Nashville,TN,Tennessee,Private,Southeast,,City: Large,10K - 20K,Coeducational,No,Arts and Sciences,Majority,On-campus,1-Historically,$0,$67.498,$22.054,$93.552,Both,197,28%,$78.582,$10.418,$15.5m,No,Full ride+stipend,Ingram Scholars,https://www.vanderbilt.edu/scholarships/ingram.php,"A premier scholarship for students who demonstrate a commitment to community service and leadership. Requires a separate, comprehensive application. Stipend is need-based. Full-tuition Cornelius Vanderbilt and Chancellor's also available",$0,$0,Requires application,"5,1%","4,5%",57%,55%,7340,327,179,"3,7%",Early Decision only,Yes,early_admission
Vassar College,Poughkeepsie,NY,New York,Private,Northeast (Mid-Atlantic),New York City,Suburb: Large,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$0,$71.030,$18.240,$93.270,Need,52,32%,$76.392,$12.828,$4.0m,Yes (Need-aware),,,,,,,,"17,7%","4,8%",32%,32%,3547,170,54,16%,Early Decision only,Yes,early_admission
Villanova University,Villanova,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),"Philadelphia, PA",Suburb: Large,10K - 20K,Coeducational,No,Balanced,High,On-campus,4-Moderately,$5.000,$67.776,$17.694,$89.470,Both,83,58%,$63.794,$21.803,$5.3m,No,Full ride+stipend,Presidential Scholarship,https://www1.villanova.edu/university/undergraduate-admission/Financial-Assistance-and-scholarship/merit-based-scholarships.html,A premier scholarship for students with a passion for learning and leadership. Requires a separate nomination from the applicant's high school. Students cannot self-apply.,$0,$3.000,Requires nomination,"23,5%",14%,30%,-,,-,58,40%,Both,Yes,early_admission
Virginia Tech (Polytech. Inst. & State U.),Blacksburg,VA,Virginia,Public,Southeast,,City: Small,20K+,Coeducational,No,Professional,High,On-campus,0-None,$65.000,$37.158,$16.550,$57.708,Merit,,,,$55.582,,N/A,not specified,International Presidential Scholarships program,https://finaid.vt.edu/undergraduate/typesofaid/scholarships/international-scholarships.html,"The link is broken/outdated. Virginia Tech offers very limited scholarships to international students, generally need-based.",,,,"57,0%","68,0%",27%,15%,3514,2390,370,57%,Early Action Only,,early_admission
Wabash College,Crawfordsville,IN,Indiana,Private,Midwest (Great Lakes),,Town: Distant,<1K,Men's,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$5.000,$50.800,$14.400,$69.200,Merit,38,97%,$42.284,$24.141,$1.6m,N/A,Full ride,Trustee International Scholarship,https://www.wabash.edu/admissions/international/scholarships,All admitted international students are automatically considered for merit-based scholarships. No separate application is required.,$0,$4.000,Automatic consideration,"62,8%","33,5%",19%,7%,537,180,12,61%,Both,,early_admission
Wagner College,Staten Island,NY,New York,Private,Northeast (Mid-Atlantic),New York City,City: Large,1K - 9K,Coeducational,No,Balanced,High,On-campus,1-Historically,$25.000,$53.200,$16.485,$73.685,Pending,No data,No data,$51.422,$20.178,,,,,,,,,-,83%,65%,20%,-,,-,,78%,Early Action Only,,early_admission
Wake Forest University,Winston-Salem,NC,North Carolina,Private,Southeast,"Raleigh, NC",City: Large,5K - 10K,Coeducational,No,Arts and Sciences,Majority,On-campus,1-Historically,$0,$67.642,$21.312,$92.954,Merit,66,16%,$14.003,$72.603,$0.9m,N/A,Full ride+stipend,"Carswell, Gordon, Reynolds, and Stamps Scholarships",https://admissions.wfu.edu/apply/international/,"These are the premier merit-based scholarships. All first-year applicants who apply by the deadline are automatically considered. No separate application required. Includes $3,400 for personal expenses. Merit Scholarships to fewer than 3% of first-year applicants.",$0,$600,Automatic consideration,22%,,37%,-,,-,-,22%,Both,Yes,early_admission
Washington & Jefferson College,Washington,PA,Pennsylvania,Private,Northeast (Mid-Atlantic),,Suburb: Large,1K - 9K,Coeducational,No,Arts and Sciences,Very High,On-campus,1-Historically,$30.000,$29.570,$14.710,$48.280,Merit,14,93%,$17.232,$28.863,$0.2m,N/A,$17.000,International Grant,https://www.washjeff.edu/future-students/international-admission/international-student-faq/,All international students are automatically considered for grants and Merit Scholarships upon admission. No separate application is required.,$12.570,$31.280,Automatically Awardarded,"81,5%","9,2%",12%,18%,360,33,6,"81,7%",Early Decision only,,early_admission
Washington and Lee University,Lexington,VA,Virginia,Private,Southeast,,Town: Distant,1K - 9K,Coeducational,No,Arts and Sciences,High,On-campus,1-Historically,$0,$68.045,$18.685,$90.730,Both,117,87%,$82.358,,$9.6m,Yes (Need-blind),Full ride+stipend,Johnson Scholarship,https://www.wlu.edu/admissions/the-johnson-scholarship/%60,"A premier scholarship covering full costs and providing additional funding. Requires a separate application, and finalists are invited to an on-campus competition. Stipend is need-based. Includes $10,000 for summer experience. Awarded to 10% of class (44 students).",$0,$0,Requires application,"17,4%","2,5%",42%,58%,2714,67,39,"14,9%",Early Decision only,Yes,early_admission
Washington College,Chestertown,MD,Maryland,Private,Northeast (Mid-Atlantic),,Town: Distant,<1K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$45.000,$55.326,$18.250,$77.576,Both,21,49%,$30.882,$42.708,$0.6m,No,$40.000,Colin Ferguson Tuition Grant + Fellowship,https://www.washcoll.edu/admissions/apply/international-students/index.php,All international applicants are automatically considered for merit-based scholarships and grants upon admission. No separate application is required.,$15.326,$37.576,Automatic consideration,"65,4%","5,4%",14%,21%,445,24,5,"53,2%",Both,,early_admission
Washington University in St. Louis,St. Louis,MO,Missouri,Private,Midwest (Great Plains),,Suburb: Large,10K - 20K,Coeducational,No,Arts and Sciences,Majority,Off-campus,0-None,$0,$65.790,$21.854,$91.644,Both,30,5%,$63.918,$23.842,$1.9m,Yes (Need-aware),Full Tuition,"Danforth Scholars, Annika Rodriguez Scholars Program",https://admissions.wustl.edu/cost-aid/scholarships/signature-scholar-programs/,"These are premier scholarship programs. Both require a separate, competitive application with essays. The Danforth focuses on leadership; the Rodriguez on service and leadership.",$0,$25.854,Requires application,"12,0%","5,9%",47%,55%,7010,415,229,"9,7%",Early Decision only,Yes,early_admission
Wellesley College,Wellesley,MA,Massachusetts,Private,Northeast (New England),"Boston, MA",Suburb: Large,1K - 9K,Women's,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$0,$67.176,$21.024,$92.200,Need,81,25%,$86.187,$2.053,$7.0m,Yes (Need-aware),,,,,,,-,"13,9%","6,3%",50%,59%,2262,143,85,"11,7%",Early Decision only,Yes,early_admission
Wesleyan University,Middletown,CT,Connecticut,Private,Northeast (New England),,City: Small,1K - 9K,Coeducational,No,Arts and Sciences,Very High,On-campus,1-Historically,$0,$70.042,$19.872,$93.914,Both,103,33%,$83.486,$6.564,$8.6m,Yes (Need-aware),Full ride+stipend,Freeman Asian Scholars Program,https://www.wesleyan.edu/admission/afford-aid/freeman.html,"A full-expense scholarship for students from specific Asian countries (People's Republic of China, Taiwan, Indonesia, Japan, Malaysia, the Philippines, Singapore, South Korea, Thailand, and Vietnam). Requires a separate, competitive application. Includes supplies, and travel to and from home country. In addition to the 11 Freeman Asian Scholars, the school expects to offer need-based financial assistance to approximately 30 foreign students from a pool of approximately 1000 such applicants.",$0,$0,Automatic consideration,"17,1%","8,0%",32%,33%,3479,277,91,"15,2%",Early Decision only,Yes,early_admission
Western Michigan University,Kalamazoo,MI,Michigan,Public,Midwest (Great Lakes),,City: Small,10K - 20K,Coeducational,No,Professional,High,On-campus,0-None,$30.000,$19.034,$12.174,$35.208,Merit,,,,,,N/A,$5.000,Global Education Merit Scholarship,https://wmich.edu/internationaladmissions/financialaid/undergraduate,All international applicants are automatically considered for this merit-based scholarship upon admission. No separate application is required.,$14.034,$30.208,Automatic consideration,85%,"25,4%",15%,19%,795,202,38,62%,Early Action Only,,early_admission
Western Washington University,Bellingham,WA,Washington,Public,West Coast,"Seattle, WA",City: Small,10K - 20K,Coeducational,No,Balanced,Very High,On-campus,0-None,$45.000,$28.707,$15.629,$48.336,Merit,84,77%,$9.368,$37.400,$0.8m,N/A,$10.000,International Achievement Award,https://admissions.wwu.edu/international/tuition-scholarships,A merit-based scholarship for new international students. Consideration is automatic for students who apply for admission by the priority deadline.,$18.707,$38.336,Automatic consideration,"91,3%","100,0%",24%,100%,12,12,12,88%,Early Action Only,,early_admission
Westminster University,Salt Lake City,UT,Utah,Private,West (Rocky Mountains),,City: Midsize,1K - 9K,Coeducational,No,Balanced,High,On-campus,2-Slightly,$30.000,$43.260,$14.226,$61.486,Both,42,100%,$27.235,$29.951,$1.1m,No,,,,,,TBD,-,"68,8%","6,5%",12%,26%,353,23,6,69%,Early Action Only,,early_admission
Westmont College,Montecito,CA,California,Private,West Coast,,Suburb: Midsize,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,5-Very,$25.000,$53.584,$16.960,$74.544,Merit,22,100%,$50.103,$22.047,$1.1m,N/A,,,,,,TBD,-,80%,16%,18%,,-,-,,77%,Early Action Only,,early_admission
Wheaton College Illinois,Wheaton,IL,Illinois,Private,Midwest (Great Lakes),"Chicago, IL",Suburb: Large,1K - 9K,Coeducational,No,Arts and Sciences,High,On-campus,5-Very,$45.000,$45.720,$14.048,$63.768,Both,67,89%,$23.368,$36.952,$1.6m,No,$24.000,Aequitas Fellows Program,https://www.wheaton.edu/admissions-and-aid/cost-and-financial-aid/student-financial-services/financial-aid-/academic-scholarships/,A scholarship program for students committed to racial and ethnic diversity. Requires a separate application and is open to US citizens and permanent residents only.,$21.720,$39.768,By invitation only,90%,48%,33%,,-,-,,83%,Early Action Only,,early_admission
Wheaton College Massachusetts,Norton,MA,Massachusetts,Private,Northeast (New England),,Suburb: Large,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$45.000,$63.960,$16.200,$84.160,Both,69,94%,$46.406,$35.104,$3.2m,No,$40.000,Wheaton Merit Scholarships,https://wheatoncollege.edu/about-wheaton-college/offices-services/student-financial-services/financing-options/information-for-international-students/,All international applicants are automatically considered for merit-based scholarships upon admission. The CSS Profile is required for need-based institutional aid.,$23.960,$44.160,Automatic consideration,63%,21%,19%,,-,-,,47%,Both,,early_admission
Whitman College,Walla Walla,WA,Washington,Private,West Coast,,City: Small,1K - 9K,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,$35.000,$64.050,$15.080,$83.130,Both,195,92%,$47.637,$32.495,$9.3m,No,$25.000,Whitman Merit Scholarship,https://www.whitman.edu/admission-and-aid/financial-aid-and-costs/international-and-daca-students,"All applicants, including international students, are automatically considered for Merit Scholarships based on their admission application. No separate application required.",$39.050,$58.130,Automatic consideration,"50,0%","12,2%",14%,23%,2443,297,67,"50,8%",Early Decision only,Yes,early_admission
Whitworth University,Spokane,WA,Washington,Private,West Coast,,Suburb: Large,1K - 9K,Coeducational,No,Arts and Sciences,Very High,Off-campus,4-Moderately,$45.000,$52.880,$14.300,$71.180,Both,98,100%,$37.289,,$3.7m,No,$28.000,Mind & Heart Scholarship,https://www.whitworth.edu/cms/administration/financial-aid/international-student-scholarship-amounts-criteria/,"A competitive scholarship for students who embody the university's mission. Requires a separate application, and finalists participate in an on-campus event.",$24.880,$43.180,Automatic consideration,87%,66%,13%,,-,-,,82%,Early Action Only,,early_admission
Willamette University,Salem,OR,Oregon,Private,West Coast,,City: Midsize,1K - 9K,Coeducational,No,Arts and Sciences,Majority,On-campus,1-Historically,$45.000,$51.156,$16.150,$71.306,Merit,20,98%,$31.861,$35.897,$0.6m,N/A,$32.000,Merit Scholarship plus other competitive scholarship,https://willamette.edu/offices/finaid/undergraduate-students/scholarships/willamette-scholarships/index.html,"All students are automatically considered for Merit Scholarships upon admission. Additional competitive scholarships in specific areas (e.g., music, theatre) require separate applications or auditions.",$19.156,$39.306,Requires application,79%,29%,16%,,-,-,,70%,Both,,early_admission
Williams College,Williamstown,MA,Massachusetts,Private,Northeast (New England),,Town: Fringe,1K - 9K,Coeducational,No,Arts and Sciences,Very High,On-campus,1-Historically,$0,$68.560,$17.260,$89.820,Need,121,72%,$84.142,$1.018,$10.2m,Yes (Need-aware),,,,,,,,10%,,47%,,-,-,-,"8,5%",Early Decision only,,early_admission
Wittenberg University,Springfield,OH,Ohio,Private,Midwest (Great Lakes),,City: Small,1K - 9K,Coeducational,No,Balanced,Very High,On-campus,2-Slightly,$30.000,$44.602,$11.562,$60.164,Both,11,100%,$31.851,$28.313,$0.4m,No,$30.000,Presidential Scholarship,https://www.wittenberg.edu/admission/international/financial,All international applicants are automatically considered for merit-based scholarships upon admission. No separate application is required.,$14.602,$30.164,Automatic consideration,"91,0%","40,0%",14%,38%,40,16,6,,Early Action Only,,early_admission
